,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,NAME,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_011E,B01001_011M,B01001_012E,B01001_012M,B01001_013E,B01001_013M,B01001_014E,B01001_014M,B01001_015E,B01001_015M,B01001_016E,B01001_016M,B01001_017E,B01001_017M,B01001_018E,B01001_018M,B01001_019E,B01001_019M,B01001_020E,B01001_020M,B01001_021E,B01001_021M,B01001_022E,B01001_022M,B01001_023E,B01001_023M,B01001_024E,B01001_024M,B01001_025E,B01001_025M,zip code tabulation area
49,ZCTA5 02631,92,84,319,109,243,95,315,130,48,57,74,59,65,42,147,94,69,73,156,94,266,156,266,100,172,88,456,140,450,122,155,68,132,74,120,57,104,61,392,111,204,80,221,91,77,53,02631
50,ZCTA5 02642,76,63,105,79,54,33,56,69,77,84,5,11,23,31,60,63,82,81,22,24,111,85,125,76,108,70,183,97,195,82,143,82,204,91,173,109,76,46,157,79,186,88,54,35,77,63,02642
51,ZCTA5 02653,21,28,86,50,73,53,60,39,33,32,12,19,20,26,54,54,82,76,103,74,94,81,134,88,123,63,158,62,217,71,68,50,182,81,224,92,159,69,333,103,221,90,154,69,72,49,02653
52,ZCTA5 02657,26,41,0,12,0,12,20,45,56,77,45,43,6,14,29,37,19,23,61,58,113,75,75,48,227,80,345,110,163,62,71,47,116,49,68,47,38,34,82,41,46,31,10,16,24,26,02657
53,ZCTA5 02667,0,12,39,29,52,43,12,19,34,37,16,21,15,26,2,4,64,52,17,23,60,51,10,15,64,47,36,30,180,73,31,34,71,59,45,38,169,121,182,106,110,84,54,73,0,12,02667
54,ZCTA5 02702,154,95,263,125,78,53,64,48,98,66,25,28,37,35,56,50,139,81,106,74,150,60,211,78,273,93,117,46,168,67,53,27,129,69,25,26,56,36,21,19,61,46,8,13,14,17,02702
55,ZCTA5 02724,338,122,434,153,395,167,511,180,225,102,97,91,227,175,317,136,732,242,440,196,386,146,659,300,679,256,517,128,400,157,274,131,156,113,224,116,292,121,148,94,154,93,157,74,120,73,02724
56,ZCTA5 02726,276,101,574,169,538,168,380,138,182,81,11,17,145,98,204,90,341,96,405,128,561,154,481,133,664,181,681,164,386,103,210,98,325,114,236,100,187,80,212,80,327,117,129,54,149,59,02726
57,ZCTA5 02740,1470,285,1277,270,1203,197,866,162,563,178,374,131,320,146,1169,252,1426,271,1567,227,985,198,1331,243,1005,190,1371,231,1168,198,397,120,702,148,430,123,532,94,602,137,553,121,459,137,393,90,02740
58,ZCTA5 02745,677,186,518,166,583,144,602,173,379,154,234,124,173,81,206,86,822,191,784,177,811,192,591,158,1076,189,1075,168,607,126,220,78,374,100,235,115,320,119,488,95,317,85,251,90,183,63,02745
59,ZCTA5 02746,477,130,671,123,520,145,273,96,129,77,50,39,67,51,269,118,773,190,587,156,646,172,374,117,359,136,418,122,336,112,160,80,179,96,35,31,114,58,170,82,110,51,48,35,87,42,02746
60,ZCTA5 02747,207,79,508,134,524,129,406,132,997,255,461,161,539,163,839,186,850,243,838,229,695,174,647,117,942,226,838,186,542,144,323,117,329,106,102,61,205,77,297,82,223,95,139,53,293,135,02747
