_pageUrl,_position,income,b190,description
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,82,poverty_white_alone,B17001A_002E,"Number of persons whose income in the past 12 months is below the poverty 
level (White Alone)"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,83,poverty_black_alone,B17001B_002E,"Number of persons whose income in the past 12 months is below the poverty 
level (Black or African American Alone)"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,84,population_american_indian_alone,B02001_004E,Population (American Indian or Alaskan Native Alone)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,85,poverty_asian_alone,B17001D_002E,"Number of persons whose income in the past 12 months is below the poverty 
level (Asian Alone)"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,86,poverty_native_hawaiian_alone,B17001E_002E,"Number of persons whose income in the past 12 months is below the poverty 
level (Native Hawaiian and Other Pacific Islander Alone)"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,87,poverty_other_alone,B17001F_002E,"Number of persons whose income in the past 12 months is below the poverty 
level (Some Other Race Alone)"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,88,poverty_two_or_more_races,B17001G_002E,"Number of persons whose income in the past 12 months is below the poverty 
level (Two or more races)"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,89,poverty_hispanic_origin,B17001I_002E,"Number of persons whose income in the past 12 months is below the poverty 
level (Hispanic Origin)"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,90,poverty_family,B17012_002E,Number of families below the poverty level in the past 12 months
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,91,poverty_family_married,B17012_003E,"Number of married couples whose income is below the poverty level in the 
past 12 months"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,92,poverty_family_single_male,B17012_009E,"Number of families with a male householder and no wife present whose income 
is below the poverty level in the past 12 months"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,93,poverty_family_single_female,B17012_014E,"Number of families with a female householder and no husband present whose 
income is below the poverty level in the past 12 months"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,94,age,B01002_001E,Median age
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,95,median_male_age,B01002_002E,Median age by sex (male)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,96,median_female_age,B01002_003E,Median age by sex (female)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,97,population,B01003_001E,Total population
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,98,population_white_alone,B02001_002E,Population (White Alone)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,99,population_black_alone,B02001_003E,Population (Black or African American Alone)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,100,population_asian_alone,B02001_005E,Population (Asian Alone)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,101,population_native_hawaiian_alone,B02001_006E,Population (Native Hawaiian and Other Pacific Islander Alone)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,102,population_other_alone,B02001_007E,Population (Some Other Race Alone)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,103,population_two_or_more_races,B02001_008E,Population (Two or more races)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,104,population_hispanic_origin,B03001_003E,Population (Hispanic Origin)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,105,median_house_construction_year,B25035_001E,Median year housing units were built
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,106,median_contract_rent,B25058_001E,Median contract rent
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,107,median_gross_rent,B25064_001E,Median gross rent (contract rent plus the cost of utilities)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,108,median_home_value,B25077_001E,Median value (dollars) for Owner-Occupied housing units
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,109,commute_time,B08136_001E,Total time spent commuting (in minutes)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,110,commute_time_solo_automobile,B08136_003E,"Time spent commuting (in minutes): Car, truck, or van - alone"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,111,commute_time_carpool,B08136_004E,"Time spent commuting (in minutes): Car, truck, or van - carpool"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,112,commute_time_public_transport,B08136_007E,Time spent commuting (in minutes): public transport (excluding taxis)
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,113,commute_time_walked,B08136_011E,Time spent commuting (in minutes): walking
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,114,commute_time_other,B08136_012E,"Time spent commuting (in minutes): Taxicab, motorcycle, bicycle, or other 
means"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,115,education_none,B15003_002E,The number of persons age 25 and over who completed no schooling
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,116,education_high_school,B15003_017E,The number of persons age 25 and over who have a regular high school diploma
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,117,education_ged,B15003_018E,"The number of persons age 25 and over who have a GED or alternative 
credential"
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,118,education_associates,B15003_021E,The number of persons age 25 and over who hold an Associate's degree
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,119,education_bachelors,B15003_022E,The number of persons age 25 and over who hold a Bachelor's degree
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,120,education_masters,B15003_023E,The number of persons age 25 and over who hold a Master's degree
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,121,education_professional,B15003_024E,The number of persons age 25 and over who hold a Profesisonal degree
http://uscensusbureau.github.io/citysdk/guides/censusModule/aliases.html,122,education_doctorate,B15003_025E,The number of persons age 25 and over who hold a Doctoral degree
